220929, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220929, 조미채소류, 양파, 기타양파, 1, 0, 150.0
220929, 수실류, 대추, 대추, 1, 0, 200.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220929, 조미채소류, 풋고추, 청양, 1, 0, 31.061947
220929, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220929, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220929, 서류, 고구마, 기타, 1, 0, 110.0
220929, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220929, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 90.0
220929, 과채류, 호박, 쥬키니호박, 1, 0, 142.0
220929, 과일과채류, 수박, 수박, 1, 0, 66.666664
220929, 수실류, 대추, 대추, 1, 0, 1000.0
220929, 수실류, 대추, 기타대추, 1, 0, 850.0
220929, 엽경채류, 부추, 일반부추, 1, 0, 296.66666
220929, 과실류, 자두, 추희, 1, 0, 360.0
220929, 과실류, 단감, 송본, 1, 0, 380.0
220929, 과실류, 복숭아, 황도, 1, 0, 450.0
220929, 과실류, 포도, 마스캇베리에이, 1, 0, 283.33334
220929, 조미채소류, 쪽파, 깐쪽파, 1, 0, 600.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220929, 과실류, 자두, 추희, 1, 0, 520.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 220.0
220929, 엽경채류, 상추, 기타상추, 1, 0, 410.0
220929, 농림가공, 곡물제조, 두부, 1, 0, 1.6666666
220929, 과일과채류, 토마토, 토마토, 1, 0, 680.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 780.0
220929, 서류, 고구마, 밤고구마, 1, 0, 90.0
220929, 서류, 고구마, 밤고구마, 1, 0, 106.0
220929, 엽경채류, 배추, 고냉지배추, 1, 0, 210.0
220929, 엽경채류, 쑥갓, 쑥갓, 1, 0, 150.0
220929, 수실류, 대추, 대추, 1, 0, 1050.0
220929, 조미채소류, 양파, 기타양파, 1, 0, 15.333333
220929, 조미채소류, 양파, 기타양파, 1, 0, 150.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 360.0
220929, 조미채소류, 양파, 기타양파, 1, 0, 150.0
220929, 엽경채류, 상추, 포기찹, 1, 0, 150.0
220929, 조미채소류, 양파, 기타양파, 1, 0, 150.0
220929, 서류, 고구마, 호박고구마, 1, 0, 80.0
220929, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220929, 과채류, 호박, 늙은호박, 1, 0, 7.5
220929, 조미채소류, 풋고추, 청양, 1, 0, 31.061947
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 1435.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 616.6667
220929, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220929, 과실류, 감귤, 하우스감귤, 1, 0, 466.66666
220929, 수실류, 대추, 기타대추, 1, 0, 280.0
220929, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220929, 과채류, 오이, 가시오이, 1, 0, 179.0
