220928, 과실류, 배, 신고, 1, 0, 66.666664
220928, 과채류, 호박, 애호박, 1, 0, 173.75
220928, 엽경채류, 열무, 열무, 1, 0, 87.5
220928, 과실류, 자두, 추희, 1, 0, 500.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 산채류, 마, 생장마, 1, 0, 223.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 383.33334
220928, 과채류, 호박, 늙은호박, 1, 0, 114.28571
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 엽경채류, 열무, 열무, 1, 0, 87.5
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 482.5
220928, 조미채소류, 풋고추, 청양, 1, 0, 350.0
220928, 과실류, 단감, 송본, 1, 0, 140.0
220928, 조미채소류, 대파, 대파, 1, 0, 215.0
220928, 조미채소류, 풋고추, 기타풋고추, 1, 0, 130.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 462.0
220928, 근채류, 무, 고냉지무, 1, 0, 160.0
220928, 과실류, 단감, 송본, 1, 0, 330.0
220928, 엽경채류, 열무, 열무, 1, 0, 90.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 250.0
220928, 과채류, 호박, 애호박, 1, 0, 166.25
220928, 양채류, 양상추, 양상추, 1, 0, 187.5
220928, 과채류, 호박, 늙은호박, 1, 0, 72.22222
220928, 서류, 고구마, 밤고구마, 1, 0, 140.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 550.0
220928, 수실류, 대추, 기타대추, 1, 0, 800.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 240.0
220928, 과일과채류, 참외, 오복, 1, 0, 193.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 466.66666
220928, 양채류, 양상추, 양상추, 1, 0, 187.5
220928, 버섯류, 새송이, 새송이, 1, 0, 350.0
220928, 과실류, 단감, 기타단감, 1, 0, 360.0
220928, 근채류, 무, 기타무, 1, 0, 130.0
220928, 엽경채류, 고구마순, 생고구마순, 1, 0, 187.5
220928, 과실류, 단감, 송본, 1, 0, 200.0
220928, 과실류, 사과, 홍장군, 1, 0, 180.0
220928, 과실류, 떫은감, 약시, 1, 0, 322.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 416.66666
220928, 양채류, 양상추, 양상추, 1, 0, 187.5
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 533.3333
220928, 수실류, 대추, 대추, 1, 0, 825.0
220928, 서류, 고구마, 호박고구마, 1, 0, 60.0
220928, 버섯류, 새송이, 새송이, 1, 0, 80.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 400.0
220928, 양채류, 양상추, 양상추, 1, 0, 187.5
220928, 과실류, 단감, 송본, 1, 0, 270.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 533.3333
220928, 과채류, 오이, 취청, 1, 0, 490.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 60.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 550.0
220928, 엽경채류, 배추, 기타배추, 1, 0, 126.0
220928, 양채류, 양상추, 양상추, 1, 0, 187.5
220928, 엽경채류, 청경채, 청경채, 1, 0, 155.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 400.0
220928, 과실류, 자두, 추희, 1, 0, 550.0
220928, 양채류, 양상추, 양상추, 1, 0, 187.5
220928, 과채류, 오이, 백다다기, 1, 0, 216.66667
220928, 조미채소류, 홍고추, 홍고추, 1, 0, 321.42856
220928, 서류, 고구마, 기타, 1, 0, 191.0
220928, 양채류, 양상추, 양상추, 1, 0, 187.5
220928, 양채류, 양상추, 양상추, 1, 0, 187.5
220928, 양채류, 양상추, 양상추, 1, 0, 100.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 575.0
220928, 과채류, 오이, 가시오이, 1, 0, 163.0
220928, 조미채소류, 대파, 대파, 1, 0, 130.0
220928, 엽경채류, 갓, 기타갓, 1, 0, 217.5
