220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 과채류, 호박, 애호박, 1, 0, 210.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 150.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 200.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 88.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 732.5
220928, 과채류, 호박, 쥬키니호박, 1, 0, 101.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 321.05264
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 666.6667
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 580.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 225.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 550.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 315.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 500.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 589.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 565.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 180.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 395.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1022.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 560.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 200.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 275.0
220928, 과일과채류, 참외, 참외, 1, 0, 260.0
220928, 과채류, 호박, 애호박, 1, 0, 333.33334
220928, 과채류, 호박, 쥬키니호박, 1, 0, 150.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 280.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 220.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 64.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 540.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 566.6667
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1090.0
