220928, 잡곡류, 옥수수, 미백, 1, 0, 101.25
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 275.0
220928, 엽경채류, 청경채, 청경채, 1, 0, 167.5
220928, 과실류, 포도, 캠벨얼리, 1, 0, 200.0
220928, 엽경채류, 상추, 적상추, 1, 0, 300.0
220928, 서류, 고구마, 밤고구마, 1, 0, 60.0
220928, 과실류, 단감, 송본, 1, 0, 450.0
220928, 과실류, 단감, 송본, 1, 0, 250.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 666.6667
220928, 과실류, 자두, 추희, 1, 0, 660.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 750.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 645.0
220928, 과실류, 단감, 송본, 1, 0, 360.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 625.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220928, 수실류, 대추, 대추, 1, 0, 650.0
220928, 과채류, 가지, 가지, 1, 0, 75.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 220.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220928, 수실류, 대추, 대추, 1, 0, 800.0
220928, 과일과채류, 수박, 수박, 1, 0, 246.66667
220928, 과일과채류, 토마토, 토마토, 1, 0, 260.0
220928, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 95.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 337.5
220928, 양채류, 적채, 적채, 1, 0, 198.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 525.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 250.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 505.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 312.5
220928, 엽경채류, 쑥갓, 쑥갓, 1, 0, 270.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 106.25
220928, 농림가공, 전분 및 사료제조, 청포묵, 1, 0, 137.5
220928, 양채류, 파프리카, 빨강파프리카, 1, 0, 517.8571
220928, 과실류, 포도, 캠벨얼리, 1, 0, 666.6667
220928, 서류, 고구마, 기타, 1, 0, 200.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220928, 과채류, 가지, 가지, 1, 0, 187.5
220928, 과채류, 오이, 가시오이, 1, 0, 200.0
