220928, 과실류, 포도, 샤인마스캇, 1, 0, 275.0
220928, 과실류, 무화과, 무화과, 1, 0, 700.0
220928, 수실류, 밤, 옥광, 1, 0, 360.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 293.33334
220928, 양채류, 파프리카, 빨강파프리카, 1, 0, 572.0
220928, 서류, 고구마, 밤고구마, 1, 0, 166.0
220928, 서류, 고구마, 밤고구마, 1, 0, 166.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 350.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 373.33334
220928, 서류, 감자, 기타감자, 1, 0, 172.5
220928, 과실류, 감귤, 하우스감귤, 1, 0, 130.0
220928, 과실류, 단감, 서촌, 1, 0, 235.0
220928, 과실류, 자두, 추희, 1, 0, 382.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 550.0
220928, 과실류, 모과, 모과, 1, 0, 90.0
220928, 과실류, 떫은감, 연시, 1, 0, 260.0
220928, 과실류, 떫은감, 약시, 1, 0, 340.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 350.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220928, 과실류, 포도, 거봉, 1, 0, 400.0
220928, 과실류, 자두, 추희, 1, 0, 300.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 240.0
220928, 수실류, 떫은감, 반시, 1, 0, 200.0
220928, 과실류, 사과, 기타사과, 1, 0, 380.0
220928, 과실류, 포도, 기타포도, 1, 0, 600.0
220928, 과실류, 떫은감, 약시, 1, 0, 180.0
220928, 과실류, 배, 신고, 1, 0, 193.33333
220928, 과채류, 호박, 쥬키니호박, 1, 0, 166.0
220928, 과실류, 바나나, 기타바나나, 1, 0, 207.6923
220928, 과실류, 사과, 아리수, 1, 0, 400.0
220928, 과실류, 자두, 추희, 1, 0, 274.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 250.0
220928, 과실류, 사과, 아리수, 1, 0, 380.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 250.0
220928, 과실류, 자두, 추희, 1, 0, 475.0
220928, 과실류, 자두, 추희, 1, 0, 376.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 475.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 250.0
220928, 과실류, 사과, 아리수, 1, 0, 360.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 93.0
220928, 과실류, 단감, 송본, 1, 0, 233.0
220928, 과실류, 떫은감, 약시, 1, 0, 320.0
220928, 과실류, 사과, 홍로, 1, 0, 305.0
220928, 근채류, 무, 여름무, 1, 0, 167.5
220928, 서류, 고구마, 밤고구마, 1, 0, 100.0
220928, 서류, 고구마, 밤고구마, 1, 0, 114.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 500.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 750.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 126.0
220928, 과실류, 단감, 송본, 1, 0, 300.0
220928, 엽경채류, 열무, 열무, 1, 0, 37.5
220928, 과일과채류, 메론, 네트계, 1, 0, 362.5
220928, 서류, 고구마, 호박고구마, 1, 0, 90.0
220928, 과실류, 떫은감, 약시, 1, 0, 188.0
220928, 과실류, 단감, 송본, 1, 0, 323.0
220928, 과실류, 단감, 송본, 1, 0, 451.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
220928, 서류, 고구마, 기타, 1, 0, 82.0
220928, 과실류, 참다래(키위), 키위, 0, 0, 2500.0
220928, 과실류, 단감, 송본, 1, 0, 142.0
220928, 과실류, 복숭아, 황도, 1, 0, 225.0
220928, 과실류, 단감, 송본, 1, 0, 330.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 300.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 425.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 283.33334
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 서류, 감자, 기타감자, 1, 0, 140.0
220928, 과일과채류, 수박, 꿀수박, 1, 0, 112.5
220928, 과일과채류, 토마토, 토마토, 1, 0, 620.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 700.0
220928, 과실류, 복숭아, 환타지아, 1, 0, 200.0
220928, 과일과채류, 메론, 네트계, 1, 0, 400.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 90.0
220928, 과채류, 호박, 애호박, 1, 0, 200.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과채류, 호박, 단호박, 1, 0, 152.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 466.66666
220928, 과실류, 자두, 기타자두, 1, 0, 240.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 700.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 166.66667
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 183.33333
220928, 과실류, 무화과, 무화과, 1, 0, 416.66666
220928, 조미채소류, 풋고추, 아삭이, 1, 0, 160.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 173.63637
220928, 양채류, 양상추, 기타양상추, 1, 0, 210.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 200.0
220928, 조미채소류, 대파, 대파, 1, 0, 180.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 520.0
220928, 근채류, 무, 여름무, 1, 0, 60.0
220928, 농림가공, 전분 및 사료제조, 도토리묵, 1, 0, 166.66667
220928, 과채류, 오이, 가시오이, 1, 0, 220.0
220928, 조미채소류, 풋고추, 아삭이, 1, 0, 240.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 290.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 600.0
220928, 조미채소류, 생강, 원강, 1, 0, 580.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 60.0
220928, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 30.0
220928, 과실류, 단감, 기타단감, 1, 0, 120.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 290.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 300.0
220928, 서류, 고구마, 밤고구마, 1, 0, 63.0
220928, 수실류, 대추, 대추, 1, 0, 550.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 220.0
220928, 조미채소류, 대파, 대파, 1, 0, 190.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 575.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 258.33334
220928, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 295.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220928, 과실류, 자두, 추희, 1, 0, 220.0
220928, 서류, 감자, 기타감자, 1, 0, 158.5
220928, 조미채소류, 대파, 대파, 1, 0, 161.0
220928, 과채류, 오이, 가시오이, 1, 0, 228.0
220928, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 290.0
220928, 과실류, 복숭아, 환타지아, 1, 0, 260.0
220928, 과실류, 단감, 상서, 1, 0, 320.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 616.6667
220928, 조미채소류, 풋고추, 청양, 1, 0, 325.0
220928, 서류, 감자, 기타감자, 1, 0, 60.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 95.0
220928, 과실류, 떫은감, 약시, 1, 0, 246.0
220928, 조미채소류, 대파, 대파, 1, 0, 173.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 533.3333
220928, 근채류, 당근, 당근, 1, 0, 175.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 212.5
220928, 엽경채류, 상추, 포기찹, 1, 0, 340.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 800.0
220928, 과실류, 단감, 송본, 1, 0, 370.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 533.3333
220928, 수실류, 대추, 대추, 1, 0, 900.0
220928, 과채류, 호박, 애호박, 1, 0, 162.5
220928, 버섯류, 새송이, 새송이, 1, 0, 330.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 200.0
220928, 과실류, 자두, 추희, 1, 0, 220.0
220928, 과실류, 떫은감, 약시, 1, 0, 100.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 300.0
220928, 과일과채류, 메론, 네트계, 1, 0, 362.5
220928, 엽경채류, 얼갈이배추, 알배기, 1, 0, 287.5
220928, 엽경채류, 얼갈이배추, 알배기, 1, 0, 187.5
220928, 엽경채류, 얼갈이배추, 알배기, 1, 0, 287.5
220928, 엽경채류, 얼갈이배추, 알배기, 1, 0, 287.5
220928, 엽경채류, 얼갈이배추, 알배기, 1, 0, 287.5
220928, 과실류, 사과, 시나노스위트, 1, 0, 120.0
220928, 과실류, 사과, 요까, 1, 0, 72.5
220928, 과실류, 포도, 캠벨얼리, 1, 0, 250.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 256.66666
220928, 서류, 고구마, 밤고구마, 1, 0, 157.0
220928, 서류, 고구마, 밤고구마, 1, 0, 157.0
220928, 서류, 고구마, 밤고구마, 1, 0, 300.0
220928, 서류, 고구마, 밤고구마, 1, 0, 93.0
220928, 조미채소류, 대파, 대파, 1, 0, 100.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 340.0
220928, 과일과채류, 메론, 네트계, 1, 0, 162.5
220928, 과실류, 포도, 샤인마스캇, 1, 0, 400.0
220928, 과실류, 떫은감, 약시, 1, 0, 380.0
220928, 과실류, 모과, 모과, 1, 0, 120.0
220928, 과실류, 떫은감, 반시, 1, 0, 324.0
220928, 과실류, 단감, 부유, 1, 0, 10.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 250.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 466.66666
220928, 과실류, 포도, 샤인마스캇, 1, 0, 575.0
220928, 과실류, 포도, 기타포도, 1, 0, 750.0
220928, 과실류, 떫은감, 반시, 1, 0, 100.0
220928, 과실류, 떫은감, 약시, 1, 0, 160.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 166.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 533.3333
220928, 엽경채류, 배추, 월동배추, 1, 0, 191.56627
220928, 과채류, 가지, 가지, 1, 0, 246.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 400.0
220928, 서류, 고구마, 밤고구마, 1, 0, 140.0
220928, 서류, 고구마, 기타, 1, 0, 150.0
220928, 과채류, 가지, 가지, 1, 0, 300.0
