220928, 과실류, 복숭아, 기타복숭아, 1, 0, 400.0
220928, 과실류, 단감, 상서, 1, 0, 120.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
220928, 근채류, 당근, 흙당근, 1, 0, 60.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 600.0
220928, 과실류, 바나나, 바나나, 0, 0, 126.92308
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 540.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 340.0
220928, 과일과채류, 수박, 애플수박, 1, 0, 206.25
220928, 엽경채류, 배추, 쌈배추, 1, 0, 275.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 258.33334
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 100.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 110.0
220928, 과실류, 단감, 송본, 1, 0, 150.0
220928, 과실류, 단감, 상서, 1, 0, 131.0
220928, 과실류, 단감, 송본, 1, 0, 280.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 110.0
220928, 과실류, 떫은감, 연시, 1, 0, 306.0
220928, 서류, 고구마, 기타, 1, 0, 213.0
220928, 과실류, 단감, 기타단감, 1, 0, 320.0
220928, 과실류, 떫은감, 연시, 1, 0, 360.0
220928, 과실류, 복숭아, 황도, 1, 0, 125.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 230.0
220928, 근채류, 무, 여름무, 1, 0, 160.55556
220928, 과실류, 떫은감, 연시, 1, 0, 402.0
220928, 조미채소류, 홍고추, 홍청양, 1, 0, 536.36365
220928, 산채류, 마, 생장마, 1, 0, 388.0
220928, 근채류, 당근, 기타당근, 1, 0, 90.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 수실류, 대추, 대추, 1, 0, 700.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 122.0
220928, 근채류, 당근, 기타당근, 1, 0, 90.0
220928, 과실류, 감귤, 황금향, 1, 0, 666.6667
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1345.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1700.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 170.0
220928, 근채류, 당근, 기타당근, 1, 0, 90.0
220928, 과실류, 감귤, 황금향, 1, 0, 733.3333
220928, 조미채소류, 대파, 대파, 1, 0, 181.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 300.0
220928, 엽경채류, 얼갈이배추, 알배기, 1, 0, 175.0
220928, 수실류, 대추, 대추, 1, 0, 450.0
220928, 과실류, 사과, 시나노레드, 1, 0, 120.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 390.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 300.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 433.33334
220928, 과실류, 단감, 부유, 1, 0, 130.0
220928, 과실류, 자두, 추희, 1, 0, 540.0
220928, 서류, 고구마, 기타, 1, 0, 220.0
220928, 서류, 감자, 수미, 1, 0, 75.0
220928, 수실류, 떫은감, 반시, 1, 0, 320.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 383.33334
220928, 엽경채류, 얼갈이배추, 알배기, 1, 0, 175.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 700.0
220928, 과실류, 감귤, 조생귤, 1, 0, 260.0
220928, 수실류, 대추, 대추, 1, 0, 150.0
220928, 엽경채류, 얼갈이배추, 알배기, 1, 0, 175.0
220928, 수실류, 대추, 대추, 1, 0, 800.0
220928, 과채류, 가지, 가지, 1, 0, 160.0
220928, 조미채소류, 대파, 대파, 1, 0, 146.5
220928, 조미채소류, 풋고추, 청양, 1, 0, 278.0
220928, 과실류, 포도, 거봉, 1, 0, 600.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 300.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 396.92307
220928, 과실류, 떫은감, 약시, 1, 0, 320.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 333.33334
220928, 서류, 고구마, 밤고구마, 1, 0, 62.0
220928, 과실류, 복숭아, 황도, 1, 0, 220.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 225.0
220928, 과채류, 가지, 가지, 1, 0, 200.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 466.66666
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 666.6667
220928, 과실류, 자두, 추희, 1, 0, 280.0
220928, 과실류, 복숭아, 황도, 1, 0, 250.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 300.0
