20220919, 과실류, 포도, 샤인마스캇, 1, 1, 10000.0
20220919, 과실류, 자두, 추희, 1, 0, 120.0
20220919, 과실류, 단감, 송본, 1, 1, 1400.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 366.66666
20220919, 과채류, 호박, 애호박, 1, 0, 162.5
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 500.0
20220919, 과채류, 오이, 백다다기, 1, 1, 2630.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 80.0
20220919, 조미채소류, 대파, 대파, 1, 0, 140.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 1, 1750.0
20220919, 과실류, 단감, 송본, 1, 1, 1700.0
20220919, 과실류, 복숭아, 환타지아, 1, 0, 300.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 26.0
20220919, 과일과채류, 토마토, 토마토, 1, 0, 200.0
20220919, 과실류, 자두, 추희, 1, 0, 240.0
20220919, 양채류, 치커리, 치커리, 1, 1, 2600.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 5000.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 310.0
20220919, 과실류, 단감, 송본, 1, 0, 220.0
20220919, 과실류, 단감, 송본, 1, 0, 220.0
20220919, 조미채소류, 대파, 대파, 1, 0, 137.5
20220919, 과채류, 오이, 가시오이, 1, 1, 720.0
20220919, 과실류, 복숭아, 장호원황도, 1, 0, 350.0
20220919, 엽경채류, 상추, 기타상추, 1, 0, 540.0
20220919, 조미채소류, 꽈리고추, 꽈리고추, 1, 1, 4600.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 1, 2250.0
20220919, 과실류, 단감, 송본, 1, 1, 2300.0
20220919, 과실류, 복숭아, 환타지아, 1, 0, 300.0
20220919, 조미채소류, 마늘, 마늘쫑, 0, 0, 330.0
20220919, 과채류, 오이, 백다다기, 1, 1, 1850.0
20220919, 조미채소류, 마늘, 마늘쫑, 0, 0, 330.0
20220919, 과실류, 복숭아, 장호원황도, 1, 0, 100.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 1, 2250.0
20220919, 과일과채류, 토마토, 토마토, 1, 0, 180.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 230.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 6500.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 6333.3335
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 26.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 1650.0
20220919, 과실류, 복숭아, 장호원황도, 1, 0, 150.0
20220919, 조미채소류, 대파, 대파, 1, 0, 137.5
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 1650.0
20220919, 양채류, 치커리, 치커리, 1, 0, 255.0
20220919, 엽경채류, 시금치, 시금치, 1, 1, 5375.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 1, 2750.0
20220919, 과채류, 호박, 애호박, 1, 0, 156.25
20220919, 과채류, 오이, 백다다기, 1, 1, 1620.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 330.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 1650.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 1650.0
20220919, 과실류, 단감, 송본, 1, 0, 370.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1340.0
20220919, 신선 해조류, 파래, 파래, 1, 1, 1250.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 6333.3335
20220919, 과실류, 포도, 거봉, 1, 1, 5500.0
20220919, 과채류, 오이, 가시오이, 1, 1, 810.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 450.0
20220919, 과실류, 단감, 송본, 1, 1, 3200.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
20220919, 과채류, 호박, 애호박, 1, 0, 225.0
20220919, 과실류, 복숭아, 복숭아, 1, 1, 1250.0
20220919, 과실류, 포도, 거봉, 1, 1, 6000.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 1500.0
20220919, 과일과채류, 토마토, 토마토, 1, 0, 260.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 0, 950.0
20220919, 조미채소류, 대파, 대파, 1, 0, 145.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1335.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1335.0
20220919, 과실류, 단감, 송본, 1, 0, 500.0
20220919, 두류, 동부, 동부, 1, 1, 2500.0
20220919, 과채류, 오이, 가시오이, 1, 1, 1350.0
20220919, 과채류, 오이, 백다다기, 1, 1, 2250.0
20220919, 엽경채류, 아욱, 아욱, 1, 1, 1250.0
20220919, 과실류, 복숭아, 복숭아, 1, 1, 1750.0
20220919, 과실류, 단감, 송본, 1, 1, 800.0
20220919, 과실류, 자두, 추희, 1, 0, 120.0
20220919, 과채류, 호박, 애호박, 1, 0, 156.25
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 5000.0
20220919, 과실류, 복숭아, 장호원황도, 1, 0, 200.0
20220919, 과실류, 복숭아, 장호원황도, 1, 0, 200.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 24.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 0, 433.33334
20220919, 과실류, 자두, 추희, 1, 0, 120.0
20220919, 엽경채류, 시금치, 시금치, 1, 0, 280.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 1500.0
20220919, 두류, 동부, 동부, 1, 1, 5000.0
20220919, 과실류, 단감, 송본, 1, 1, 1000.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 480.0
20220919, 과실류, 복숭아, 장호원황도, 1, 0, 200.0
20220919, 과실류, 복숭아, 복숭아, 1, 1, 2250.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 130.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 1, 3000.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1315.0
20220919, 과채류, 호박, 애호박, 1, 0, 150.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 8000.0
20220919, 과채류, 오이, 백다다기, 1, 1, 1000.0
20220919, 과실류, 단감, 송본, 1, 1, 1000.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 0, 233.33333
20220919, 과일과채류, 토마토, 토마토, 1, 0, 90.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 0, 233.33333
20220919, 과일과채류, 토마토, 토마토, 1, 0, 90.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 1650.0
20220919, 과채류, 오이, 가시오이, 1, 1, 580.0
20220919, 조미채소류, 대파, 깐대파, 1, 0, 430.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 8600.0
20220919, 엽경채류, 상추, 기타상추, 1, 0, 750.0
20220919, 과실류, 복숭아, 백도, 1, 1, 1125.0
20220919, 과실류, 단감, 송본, 1, 1, 1400.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
20220919, 조미채소류, 대파, 대파, 1, 0, 130.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 20.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1285.0
20220919, 과실류, 단감, 송본, 1, 0, 2500.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 1700.0
20220919, 과일과채류, 토마토, 토마토, 1, 0, 80.0
20220919, 과채류, 오이, 가시오이, 1, 1, 910.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 7700.0
20220919, 과실류, 단감, 송본, 1, 1, 1300.0
20220919, 과실류, 단감, 송본, 1, 1, 1300.0
20220919, 과채류, 호박, 애호박, 1, 0, 250.0
20220919, 과채류, 오이, 백다다기, 1, 1, 1800.0
20220919, 과실류, 복숭아, 백도, 1, 1, 1750.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 6000.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 1600.0
20220919, 엽경채류, 고추잎, 생고추잎, 1, 1, 1500.0
20220919, 조미채소류, 풋고추, 모닝, 1, 1, 7800.0
20220919, 과실류, 단감, 송본, 1, 1, 1600.0
20220919, 엽경채류, 열무, 열무, 1, 0, 90.0
20220919, 과실류, 복숭아, 유명, 1, 0, 150.0
20220919, 조미채소류, 풋고추, 청양, 1, 0, 220.0
20220919, 과실류, 복숭아, 장호원황도, 1, 0, 300.0
20220919, 엽경채류, 열무, 열무, 1, 0, 90.0
20220919, 엽경채류, 열무, 열무, 1, 0, 90.0
20220919, 조미채소류, 대파, 대파, 1, 0, 125.0
20220919, 과실류, 복숭아, 백도, 1, 1, 1625.0
20220919, 과실류, 단감, 송본, 1, 1, 2200.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 5000.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 0, 166.66667
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 5000.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 0, 166.66667
20220919, 서류, 고구마, 밤고구마, 1, 0, 146.0
20220919, 과실류, 복숭아, 유명, 1, 0, 170.0
20220919, 과일과채류, 토마토, 토마토, 1, 0, 120.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 8050.0
20220919, 엽경채류, 토란대, 토란대, 1, 1, 962.5
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 9933.333
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 30.0
20220919, 과채류, 호박, 애호박, 1, 0, 175.0
20220919, 과채류, 호박, 애호박, 1, 0, 175.0
20220919, 과실류, 단감, 상서, 1, 0, 2800.0
20220919, 과채류, 오이, 백다다기, 1, 1, 1100.0
20220919, 과실류, 복숭아, 백도, 1, 1, 1250.0
20220919, 과실류, 복숭아, 유명, 1, 0, 190.0
20220919, 엽경채류, 토란대, 토란대, 1, 1, 625.0
20220919, 엽경채류, 고추잎, 생고추잎, 1, 1, 1500.0
20220919, 엽경채류, 배추, 쌈배추, 1, 0, 210.0
20220919, 엽경채류, 배추, 쌈배추, 1, 0, 156.0
20220919, 엽경채류, 배추, 쌈배추, 1, 0, 153.0
20220919, 엽경채류, 배추, 쌈배추, 1, 0, 156.0
20220919, 엽경채류, 배추, 쌈배추, 1, 0, 153.0
20220919, 조미채소류, 풋고추, 청양, 1, 0, 220.0
20220919, 엽경채류, 상추, 적상추, 1, 1, 2125.0
20220919, 과채류, 오이, 가시오이, 1, 1, 1380.0
20220919, 과실류, 복숭아, 백도, 1, 1, 2000.0
20220919, 과실류, 자두, 추희, 1, 0, 300.0
20220919, 과채류, 호박, 애호박, 1, 0, 250.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 1600.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 7750.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 7750.0
20220919, 버섯류, 양송이, 양송이, 1, 0, 600.0
20220919, 엽경채류, 배추, 쌈배추, 1, 1, 2800.0
20220919, 과실류, 복숭아, 유명, 1, 0, 390.0
20220919, 과실류, 단감, 상서, 1, 0, 3700.0
20220919, 과실류, 복숭아, 백도, 1, 1, 2000.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 4500.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 0, 566.6667
20220919, 과실류, 자두, 추희, 1, 0, 440.0
20220919, 과실류, 복숭아, 장호원황도, 1, 0, 325.0
20220919, 과실류, 복숭아, 장호원황도, 1, 0, 325.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 433.33334
20220919, 엽경채류, 토란대, 토란대, 1, 1, 925.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 34.5
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 1250.0
