20220919, 조미채소류, 풋고추, 청양, 1, 1, 2950.0
20220919, 과채류, 오이, 백다다기, 1, 1, 1453.3334
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5975.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 4600.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 720.0
20220919, 과채류, 오이, 백다다기, 1, 1, 1920.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 6575.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 566.6667
20220919, 엽경채류, 배추, 기타배추, 1, 1, 1027.5
20220919, 조미채소류, 풋고추, 청양, 1, 1, 3000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 1050.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 6475.0
20220919, 과채류, 오이, 백다다기, 1, 1, 3346.6667
20220919, 조미채소류, 풋고추, 청양, 1, 1, 6250.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 142.5
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 4000.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 3300.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 566.6667
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 4000.0
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1500.0
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1000.0
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1714.2858
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1625.0
20220919, 농림가공, 곡물제조, 순두부, 0, 1, 350.0
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1454.5454
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1454.5454
20220919, 과채류, 호박, 풋호박, 1, 1, 1400.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 320.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 6250.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 320.0
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1333.3334
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1333.3334
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1454.5454
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1600.0
20220919, 농림가공, 곡물제조, 연두부, 0, 1, 1066.6666
20220919, 농림가공, 곡물제조, 연두부, 0, 1, 1066.6666
20220919, 조미채소류, 풋고추, 청양, 1, 0, 80.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5750.0
20220919, 과채류, 호박, 풋호박, 1, 1, 2600.0
20220919, 양채류, 파프리카, 노랑파프리카, 1, 0, 240.0
20220919, 산채류, 고사리, 고사리, 0, 1, 4500.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 2750.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 633.3333
20220919, 양채류, 파프리카, 노랑파프리카, 1, 0, 260.0
20220919, 과채류, 호박, 풋호박, 1, 1, 1580.0
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 875.0
20220919, 엽경채류, 숙주나물, 숙주나물, 0, 1, 1125.0
20220919, 양채류, 파프리카, 노랑파프리카, 1, 0, 170.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 2875.0
20220919, 양채류, 파프리카, 빨강파프리카, 1, 0, 280.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 10750.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 4450.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 10750.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 2000.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 2000.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 2000.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5900.0
20220919, 과채류, 호박, 풋호박, 1, 1, 2550.0
20220919, 양채류, 파프리카, 빨강파프리카, 1, 0, 340.0
20220919, 양채류, 파프리카, 빨강파프리카, 1, 0, 320.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5750.0
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 875.0
20220919, 엽경채류, 숙주나물, 숙주나물, 0, 1, 1125.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 205.0
20220919, 과채류, 호박, 애호박, 1, 1, 1850.0
20220919, 양채류, 파프리카, 빨강파프리카, 1, 0, 300.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 12600.0
20220919, 엽경채류, 숙주나물, 숙주나물, 0, 1, 1250.0
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 1000.0
20220919, 조미채소류, 꽈리고추, 꽈리고추, 1, 1, 1666.6666
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 12600.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 2200.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 623.3333
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 12600.0
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 875.0
20220919, 조미채소류, 꽈리고추, 꽈리고추, 1, 1, 4700.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 270.0
20220919, 과채류, 호박, 애호박, 1, 1, 1437.5
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 187.5
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5275.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 16330.0
20220919, 조미채소류, 풋고추, 애기초, 1, 1, 1500.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 16330.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 3000.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 2250.0
20220919, 조미채소류, 풋고추, 기타풋고추, 1, 1, 900.0
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1625.0
20220919, 농림가공, 곡물제조, 순두부, 0, 1, 875.0
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1454.5454
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1500.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 1800.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 187.5
20220919, 과채류, 호박, 애호박, 1, 1, 2225.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 4750.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 15800.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 516.6667
20220919, 조미채소류, 풋고추, 기타풋고추, 1, 1, 500.0
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1600.0
20220919, 과채류, 호박, 애호박, 1, 1, 2212.5
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 875.0
20220919, 엽경채류, 숙주나물, 숙주나물, 0, 1, 1125.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 4700.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 14200.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 633.3333
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 1800.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 1800.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 14200.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 4150.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 4420.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 2250.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 2000.0
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 1000.0
20220919, 엽경채류, 숙주나물, 숙주나물, 0, 1, 1250.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 13300.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5000.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5000.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 2000.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 2000.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 13300.0
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 1600.0
20220919, 과채류, 호박, 애호박, 1, 1, 2187.5
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 0, 275.0
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 500.0
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 875.0
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 1300.0
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 875.0
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 1300.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 1800.0
20220919, 엽경채류, 기타, 엽경채류, 1, 1, 8000.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 1833.3334
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 2800.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 2800.0
20220919, 과채류, 호박, 풋호박, 1, 1, 1480.0
20220919, 조미채소류, 쪽파, 쪽파, 1, 1, 1500.0
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 1000.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5000.0
20220919, 엽경채류, 숙주나물, 숙주나물, 0, 1, 1250.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 2000.0
20220919, 조미채소류, 꽈리고추, 꽈리고추, 1, 1, 8075.0
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 875.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5750.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 1800.0
20220919, 농림가공, 전분 및 사료제조, 기타, 1, 1, 1833.3334
20220919, 과채류, 호박, 풋호박, 1, 1, 2300.0
20220919, 엽경채류, 콩나물, 콩나물, 0, 1, 1250.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 3550.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 3000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 800.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 300.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 3000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 4500.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 6000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 1000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 800.0
20220919, 엽경채류, 무순, 무순, 1, 1, 300.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 1000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 800.0
20220919, 엽경채류, 무순, 무순, 1, 1, 300.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 12330.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 3800.0
20220919, 엽경채류, 숙주나물, 숙주나물, 1, 1, 3750.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 6660.0
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1500.0
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1454.5454
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1333.3334
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1454.5454
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1333.3334
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 12000.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 2500.0
20220919, 양채류, 피망(단고추), 청피망, 1, 1, 1360.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 12000.0
20220919, 과채류, 오이, 백다다기, 1, 1, 2800.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 3800.0
20220919, 양채류, 피망(단고추), 청피망, 1, 1, 3550.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 3400.0
20220919, 농림가공, 곡물제조, 순두부, 0, 1, 875.0
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1600.0
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1333.3334
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1454.5454
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1600.0
20220919, 농림가공, 곡물제조, 연두부, 0, 1, 1066.6666
20220919, 농림가공, 곡물제조, 두부, 0, 1, 1333.3334
20220919, 과채류, 오이, 백다다기, 1, 1, 3333.3333
20220919, 조미채소류, 풋고추, 청양, 1, 1, 6440.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 6575.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 6500.0
20220919, 엽경채류, 무순, 무순, 1, 1, 300.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 14000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 4500.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 1000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 300.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 24000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 21000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 4500.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 1000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 1000.0
20220919, 엽경채류, 배추, 쌈배추, 1, 0, 100.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 6220.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5750.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 6200.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 6250.0
20220919, 엽경채류, 배추, 쌈배추, 1, 0, 71.25
20220919, 조미채소류, 풋고추, 청양, 1, 1, 3320.0
20220919, 조미채소류, 쪽파, 쪽파, 1, 1, 7060.0
20220919, 엽경채류, 배추, 쌈배추, 1, 0, 71.25
20220919, 조미채소류, 풋고추, 청양, 1, 1, 6460.0
20220919, 엽경채류, 무순, 무순, 1, 1, 300.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 700.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 6000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 300.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 3000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 6000.0
20220919, 엽경채류, 배추, 기타배추, 1, 1, 700.0
