220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 117.5
220928, 과채류, 호박, 애호박, 1, 0, 75.0
220928, 과일과채류, 수박, 수박, 1, 0, 121.42857
220928, 과실류, 참다래(키위), 키위, 0, 0, 666.6667
220928, 서류, 고구마, 기타, 1, 0, 180.0
220928, 수실류, 떫은감, 반시, 1, 0, 340.0
220928, 엽경채류, 열무, 열무, 1, 0, 165.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 373.0
220928, 과일과채류, 수박, 수박, 1, 0, 113.333336
220928, 과실류, 단감, 상서, 1, 0, 275.0
220928, 수실류, 대추, 대추, 1, 0, 1200.0
220928, 과실류, 사과, 시나노레드, 1, 0, 130.0
220928, 과채류, 오이, 백다다기, 1, 0, 453.33334
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 122.5
220928, 과일과채류, 수박, 수박, 1, 0, 118.75
220928, 엽경채류, 기타, 엽경채류, 1, 0, 620.0
220928, 수실류, 대추, 대추, 1, 0, 130.0
220928, 서류, 고구마, 기타, 1, 0, 210.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 950.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 127.5
220928, 근채류, 토란, 토란, 1, 0, 136.0
220928, 과실류, 포도, 거봉, 1, 0, 400.0
220928, 수실류, 대추, 기타대추, 1, 0, 650.0
220928, 과실류, 떫은감, 반시, 1, 0, 380.0
220928, 과채류, 가지, 가지, 1, 0, 103.75
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 125.0
220928, 과실류, 참다래(키위), 키위, 0, 0, 666.6667
220928, 과실류, 포도, 캠벨얼리, 1, 0, 200.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 260.0
220928, 엽경채류, 청경채, 청경채, 1, 0, 65.0
220928, 엽경채류, 열무, 열무, 1, 0, 172.5
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 475.0
220928, 근채류, 알타리무, 알타리무, 1, 0, 98.36066
220928, 수실류, 대추, 기타대추, 1, 0, 1000.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 312.5
220928, 과채류, 가지, 가지, 1, 0, 175.0
220928, 조미채소류, 대파, 대파, 1, 0, 240.0
220928, 과채류, 호박, 애호박, 1, 0, 115.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 192.85715
220928, 과실류, 참다래(키위), 키위, 0, 0, 666.6667
220928, 서류, 고구마, 기타, 1, 0, 160.0
220928, 과채류, 호박, 애호박, 1, 0, 107.5
220928, 조미채소류, 대파, 대파, 1, 0, 240.0
220928, 서류, 감자, 기타감자, 1, 0, 61.5
220928, 근채류, 당근, 당근, 1, 0, 72.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 232.5
220928, 과채류, 호박, 애호박, 1, 0, 100.0
220928, 엽경채류, 청경채, 청경채, 1, 0, 100.0
220928, 과채류, 오이, 백다다기, 1, 0, 160.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 60.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 500.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 550.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 330.0
220928, 과채류, 오이, 백다다기, 1, 0, 241.0
220928, 서류, 고구마, 기타, 1, 0, 165.0
220928, 과채류, 호박, 애호박, 1, 0, 293.75
220928, 근채류, 당근, 기타당근, 1, 0, 250.0
220928, 과실류, 포도, 거봉, 1, 0, 700.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 226.0
220928, 과실류, 단감, 서촌, 1, 0, 210.0
220928, 조미채소류, 대파, 대파, 1, 0, 240.0
220928, 과채류, 호박, 애호박, 1, 0, 250.0
220928, 수실류, 떫은감, 반시, 1, 0, 220.0
220928, 수실류, 떫은감, 약시, 1, 0, 200.0
220928, 과실류, 배, 신고, 1, 0, 90.666664
220928, 과실류, 단감, 기타단감, 1, 0, 185.0
220928, 수실류, 떫은감, 약시, 1, 0, 200.0
220928, 과실류, 사과, 홍로, 1, 0, 100.0
220928, 과실류, 참다래(키위), 키위, 0, 0, 410.0
220928, 과실류, 떫은감, 약시, 1, 0, 140.0
220928, 과실류, 단감, 기타단감, 1, 0, 300.0
220928, 수실류, 떫은감, 약시, 1, 0, 280.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 360.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 220.0
220928, 과실류, 사과, 홍로, 1, 0, 150.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 400.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 400.0
220928, 과실류, 사과, 홍로, 1, 0, 180.0
220928, 과실류, 단감, 조추, 1, 0, 190.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 320.0
220928, 과실류, 사과, 홍로, 1, 0, 130.0
220928, 서류, 고구마, 기타, 1, 0, 120.0
220928, 서류, 고구마, 호박고구마, 1, 0, 86.0
220928, 서류, 고구마, 밤고구마, 1, 0, 200.0
220928, 서류, 고구마, 기타, 1, 0, 170.0
220928, 과실류, 참다래(키위), 키위, 0, 0, 666.6667
220928, 과실류, 사과, 시나노레드, 1, 0, 160.0
220928, 과실류, 단감, 상서, 1, 0, 320.0
220928, 서류, 고구마, 밤고구마, 1, 0, 200.0
